codigo sap,nombre del equipo,numero de rodamiento lado acople,numero de acople aldo ventilador,diametro ventilador,equipo,potencia,rpm,area
136829,Ventilador forzado secadora fabrica ,6208,6208,"7""",MOTOR ELECTRICO,10HP,1760,RA
136829,Ventilador forzado secadora fabrica ,6208,6208,"7""",MOTOR ELECTRICO,10HP,1760,RA
136801,Bomba 2 magma de tercera ,6311 2Z C3,6211 2Z C3,"12""",MOTOR ELECTRICO,30HP,1765,RA
136800,Bba #1 magma de 3ra ,6310,6210,8”,MOTOR ELECTRICO,30,1770,RA
136798,Centrífuga 5 de tercera ,6316 C3,6316 C3,"9 ½""",MOTOR ELECTRICO,140HP,1786,RA
136797,Centrífuga 4 de tercera ,6316,6316,"9½""",MOTOR ELECTRICO,140HP,1786,RA
136796,Centrífugas 1 de tercera ,6319,6316,15”,MOTOR ELECTRICO,150hp ,1780,RA
136794,Agitador tanque disuelto de 2da,6206,6205,6”,MOTOR ELECTRICO,5 HP,1740,RA
136787,Centrifuga 1 tacho continuo 2A,6322/C3,6316/C3VLO241,18 Pulgadas,MOTOR ELECTRICO,268HP,893,RA
136773,Motor 1 de semilla tacho continuo 2B,6311-2Z,6207-2Z,7 pulgadas,MOTOR ELECTRICO,40HP,1770,RA
136772,Motor 2 de semilla tacho continuo 1B,6213-zc3,6213-zc3,7 pulgadas,MOTOR ELECTRICO,50HP,1780,RA
136747,Bba soda Acústica ,6313,6312,36 ,MOTOR ELECTRICO,65,1760,TRATAMIENTO
136746,Bba #2 condensado calentador meladura blanco ,6206,6205,17 cm,MOTOR ELECTRICO,5,1750,TRATAMIENTO
136745,Bba #1 condensado calentador meladura blanco ,6311,6208,21 cm,MOTOR ELECTRICO,20,1760,TRATAMIENTO
136744,Bba meladura morena a tachos #2,6312,6212,17 cm,MOTOR ELECTRICO,50,1765,TRATAMIENTO
136743,Bba meladura morena a Tachos#1,6312,6212,17 cm,MOTOR ELECTRICO,50,1765,TRATAMIENTO
136742,Abraham Del Cid ,6309,6209,23cm,MOTOR ELECTRICO,15,1170,TRATAMIENTO
136741,Bba de espuma #1 clarificador de meladura ,6310,6210,23 cm,MOTOR ELECTRICO,15,1170,TRATAMIENTO
136740,Bba Meladura Sulfitada #3,6313,6313,25 cm,MOTOR ELECTRICO,75,1785,TRATAMIENTO
